JOB Role,Company,Salary,Location
Junior Graphic Designer,Yellow Bulbs Solutions Private Limited,"₹ 2,64,000 - 3,00,000",Work from home
Front Desk Administrator,ACT PLANETT ACTING ACAADEMY,"₹ 2,00,000 - 2,30,000",Pune
Digital Marketing Associate,The Affordable Organic Store,"₹ 2,16,000",Kompally
Executive- Operations (BPO),FiveS Digital Private Limited,"₹ 2,40,000 - 2,50,000",Udaipur
Digital Marketing Manager,Meravilla Pool City,"₹ 4,80,000 - 6,00,000","Thane, Navi Mumbai, Kalyan, Mumbai"
Customer Support Executive,Ditio Sys Private Limited,"₹ 2,50,000 - 3,50,000",Bangalore
Web Developer,Devion Labs Private Limited,"₹ 2,00,000 - 3,80,000","Delhi, Gurgaon                                                        (Hybrid)"
Electronics Design Engineer,ProEmbSys Technologies Private Limited,"₹ 2,00,000 - 3,00,000",Bangalore
Student Application And Visa Coordinator,Aim Ladder,"₹ 2,00,000",Delhi
Graphic Designer,Xplo360 Immersive Tech Pvt Ltd,"₹ 2,40,000 - 4,00,000",Pune
Business Development Executive,Alvoral Private Limited,"₹ 3,60,000 - 4,56,000","Delhi, Pune, Surat, Mumbai, Kolkatta (Nepal)"
Customer Support Executive,Axi Workforce Pvt Ltd,"₹ 2,16,000 - 2,55,000",Hyderabad
Sales Representative - Uniforms,Mafatlal Industries Limited,"₹ 2,00,000","Thane, Navi Mumbai, Mumbai, Mira Bhayandar, Vasai-Virar"
Junior Corporate Sales Executive,Dhanyaayai Enterprises,"₹ 2,00,000 - 2,80,000","Pune, Mumbai"
Business Development Executive,DataShouts Solutions Private Limited,"₹ 2,30,000",Chandigarh                                                        (Hybrid)
Junior Travel & Tourism Executive,Global Corporate Tour,"₹ 2,00,000 - 2,80,000",Dehradun
Lifestyle Manager,Club Concierge (India) Private Limited,"₹ 2,76,000 - 6,24,000",Bangalore
Academic Counselor (Inside Sales),Dee Kay Enterprises,"₹ 2,50,000 - 3,50,000",Bangalore
Junior Search Engine Optimization (SEO) Associate,Gimme Gamma,"₹ 2,00,000 - 2,40,000",Work from home
Digital Marketing Associate,AU BUILDCON PVT. LTD.,"₹ 2,50,000 - 5,00,000",Indore                                                        (Hybrid)
Procurement Operation Manager,The Affordable Organic Store,"₹ 3,00,000",Kompally
Business Development Executive,Think EBikeGO Private Limited,"₹ 4,00,000 - 5,00,000",Mumbai
Design & Quality Engineer,Chandra Pumps Private Limited,"₹ 2,15,000 - 2,80,000",Meerut
Business Development Executive,Antraweb Technologies Private Limited,"₹ 4,32,000",Mumbai
Senior Interior Designer,Bonito Designs Pvt Ltd,"₹ 3,00,000 - 7,00,000",Thane
Guest Relationship Executive,Whizlink Entertainment Private Limited,"₹ 2,30,000 - 2,90,000",Surat
Sales And Service Manager (Compressor),Caravan Marketing,"₹ 4,24,000 - 8,36,000",Bangalore
Tele Caller (US Accent),Stark Edge,"₹ 2,01,000 - 2,55,000","Ambala, Chandigarh, Mohali, Panchkula, Punjab, Himachal Pradesh, Haryana"
Sales Executive,BNM Business Solutions LLP,"₹ 6,00,000 - 6,50,000",Navi Mumbai
Back Office Insurance And Finance,KINLIO FINSURE,"₹ 2,00,000 - 2,56,000",Ahmedabad
Android App Developer,Anytimeinvest Services Private Limited,"₹ 4,00,000 - 5,00,000",Delhi
Personal Secretary,PGN Travel Shop (Lagya Visa),"₹ 2,65,000 - 6,45,000",Delhi
Graphic Designer,Pro X Infotech Private Limited,"₹ 3,60,000 - 6,00,000",Delhi
Business Development Executive,Cloud Certitude Private Limited,"₹ 2,04,000",Pune
Senior Social Media Marketing Manager,Our Quotient,"₹ 4,80,000 - 7,00,000",Mumbai
Process Associate,Aquality Water Solutions Private Limited,"₹ 2,00,000 - 4,00,000",Hyderabad
Business Development Manager,Harasha Pharma Pvt Ltd,"₹ 3,60,000 - 4,80,000",Delhi
Business Development Executive,Erayaa Builders And Developers,"₹ 2,50,000 - 10,00,000",Bangalore
Digital Marketing Executive,Ace Stayz Pvt. Ltd.,"₹ 3,00,000 - 4,80,000",Noida
Business Development Executive,Anytimeinvest Services Private Limited,"₹ 2,16,000 - 3,00,000",Delhi
Moodle LMS Developer,Offiql Technologies Private Limited,"₹ 6,00,000",Bangalore
Business Development Executive,NIL EDUTECH PRIVATE LIMITED,"₹ 2,00,000 - 3,20,000",Lucknow
Supply Chain Executive,Morphdhome Solpro Private Limited,"₹ 2,50,000 - 3,60,000",Bhiwandi
Business Development Executive,National Institute Of Language,"₹ 2,00,000 - 3,64,000",Lucknow
Sales Executive,Ramanashree Shopping Arcade Pvt Ltd,"₹ 2,28,000 - 3,60,000",Bangalore
Business Development Specialist,RPR TRANSPORT SOLUTIONS LLP,"₹ 6,00,000 - 8,00,000",Gurgaon
Planning Analyst,Anamind Business Consulting Private Limited,"₹ 4,00,000 - 5,00,000",Bangalore
System Engineer,Ether Daylight Systems Pvt. Ltd.,"₹ 2,40,000",Bangalore
Sales Manager,CareEco Technologies Private Limited,"₹ 4,60,000 - 7,30,000","Ghaziabad, Noida"
Field Sales Executive,Zenocta Solutions Pvt. Ltd.,"₹ 2,60,000 - 4,20,000",Hyderabad
Client Handling,APSK Production & Entertainment Private Limited,"₹ 2,00,000 - 2,40,000",Delhi
Computer Training & Data Science Faculty,DeveLearn Technologies,"₹ 6,00,000",Mumbai
Performance Marketing Executive (Meta & Google Ads),Marketing Beku,"₹ 4,20,000 - 5,50,000",Work from home
Junior Video Editor,Break The Code,"₹ 2,00,000 - 3,00,000","Thane, Dombivli, Kalyan, Mumbai, Virar, Mira Bhayandar, Nala Sopara, Dahisar, Sion Koliwada, Vasai-Virar, Kurla, Bandra"
Business Development Associate,Juniors Brands Private Limited,"₹ 2,36,000 - 2,80,000",Jaipur
Sales & Operations Manager,OrangeCross HomeHealth Pvt Ltd,"₹ 2,50,000",Pune                                                        (Hybrid)
Client Service Manager,Neorems Services Private Limited,"₹ 5,00,000 - 7,50,000",Bangalore
Software Developer,4x4 Advisory Services Private Limited,"₹ 6,00,000 - 7,00,000",Bangalore                                                        (Hybrid)
Business Development Executive,DREAM TELNET PRIVATE LIMITED,"₹ 2,62,000 - 4,80,000",Delhi
Strategic Partnership Executive,Bhanzu (Formerly Exploring Infinities),"₹ 3,00,000 - 3,60,000",Bangalore
Strategic Partnership Executive,Bhanzu (Formerly Exploring Infinities),"₹ 3,60,000",Bangalore
Business Development Associate,Juniors Brands Private Limited,"₹ 2,26,000 - 2,60,000",Jaipur
PHP Developer,WES Consultancy & Services Private Limited,"₹ 2,40,000",Raipur
Junior Social Media Marketing Manager,Hextech Media,"₹ 2,00,000 - 3,00,000",Mumbai                                                        (Hybrid)
Inside Sales Executive,Hagerstone International Private Limited,"₹ 2,00,000 - 2,40,000",Noida
Assistant Manager (Lead Generation),Aapke Doctors Services LLP,"₹ 2,10,000 - 2,20,000",Work from home
Social Media Marketing Manager,C&E Media,"₹ 2,50,000 - 3,50,000",Mumbai
Sales And Marketing Executive,Vruksha Setu Foundation,"₹ 2,00,000",Ahmedabad
Junior Social Media Marketing Associate,Classic Curves,"₹ 2,00,000 - 2,50,000",Jaipur
Associate Software Engineer,Kanerika Software Private Limited,"₹ 3,00,000 - 7,00,000",Hyderabad
Junior Social Media Marketing Associate,Stirring Minds,"₹ 2,00,000",Delhi
Deck Administrator,Water Town Swim School,"₹ 2,00,000 - 5,00,000","Delhi, Gurgaon, Greater Noida, Noida"
Content & E-commerce Management Specialist,Propel Elevate,"₹ 2,44,000 - 4,16,000",Noida
Business Development Executive,MACZEN ENGINEERING (OPC) PVT.LTD,"₹ 2,00,000 - 3,00,000",Bhubaneswar
STEM Engineer/Robotics Trainer/STEM Educator,STEMx,"₹ 2,00,000 - 2,40,000",Bangalore
Business Development Associate,First Floor Digital Agency,"₹ 2,00,000 - 6,00,000",Mysuru
Field Sales Executive,VIASELL CONSULTANCY SERVICES,"₹ 3,80,000 - 5,50,000","Pune, Chakan, Ranjangaon, Pimpri-Chinchwad"
Program Manager,Vridhi Finserv Home Finance Ltd,"₹ 3,00,000 - 6,00,000",Bangalore
Junior Graphic Designer,Dev Opus Pvt Ltd,"₹ 3,00,000 - 5,50,000",Ahmedabad
Lead Engagement Executive,Sampannata Enterprises Private Limited (Finclu),"₹ 2,00,000 - 2,70,000",Work from home
Business Development Associate,KERMIS EVENTS PRIVATE LIMITED,"₹ 3,60,000 - 4,60,000",Mumbai
Data Entry Executive,Velozity Global Solutions,"₹ 2,20,000 - 3,30,000","Chennai, Bangalore"
Junior Social Media Marketing Executive,Manan Modi,"₹ 3,05,000 - 3,25,000",Udaipur
Junior Social Media Marketing Specialist,That's Creative,"₹ 2,00,000 - 5,00,000",Faridabad
Content Creator & Brand Builder,Growify Digital,"₹ 4,00,000 - 10,00,000","Gurgaon, Noida, Delhi"
Project Executive,AVM Healthcare Products Private Limited,"₹ 2,16,000 - 2,64,000",Delhi
Key Accounts Executive,Mobavenue Media Private Limited,"₹ 3,00,000 - 5,00,000",Mumbai
Software Sales (At US Based Startup),PowerDialer AI,"₹ 3,60,000 - 5,00,000",Work from home
Social Media Marketing Specialist,SHRI MISRI GROUP,"₹ 2,00,000 - 5,00,000",Chennai
Technical Product Manager,BlackLight Studio Works,"₹ 3,00,000 - 5,00,000","Delhi, Gurgaon, Noida"
Sales Executive,Era Hydro-Biotech Energy Pvt.Ltd.,"₹ 2,00,000 - 3,00,000",Pune
Assistant Accountant,JH-WELLTEC MACHINES PVT LTD,"₹ 2,40,000 - 3,00,000",Ahmedabad
Teacher,From Eye To Brain Private Limited,"₹ 3,20,000",Lucknow
Social Media Marketing Specialist,The Global Hues,"₹ 2,00,000 - 5,60,000",West
Business Development Associate,Colombier Lab Private Limited,"₹ 3,20,000 - 6,80,000",Kochi
Accountant,B. D. Industries (India) Private Limited,"₹ 2,00,000 - 4,80,000",Mumbai
Robotics Engineer,PNT Robotics & Automation Solutions LLP,"₹ 3,00,000 - 5,00,000",Dombivli
Robotics STEM Trainer (For Schools),Qlearncept,"₹ 2,40,000 - 3,20,000","Zaheerabad, Hyderabad, Achampet"
Social Media Executive,VANTAGE KNOWLEDGE ACADEMY LIMITED,"₹ 2,00,000 - 5,00,000",Mumbai
Field Sales Executive,Management Treasures Group,"₹ 2,00,000 - 6,80,000","Delhi, Noida                                                        (Hybrid)"
MANPOWER SUPERVISOR,ARAMIKS INDIA SOLUTIONS PRIVATE LIMITED,"₹ 2,50,000 - 2,60,000",Tauru
Business Development Associate,Pedestal Techno World,"₹ 4,50,000 - 5,80,000","Ajmer, Bhilwara, Chandigarh, Chittorgarh, Indore, Jodhpur, Kota, Lucknow, Rohtak, Udaipur, Yamuna Nagar, Sikar, Jaipur, Noida, Saharanpur                                                        (Hybrid)"
Business Development Executive,Veritas Actuaries And Consultants,"₹ 6,00,000 - 8,00,000",Gurgaon
Assistant Business Development Manager,Paprika Idea Labs,"₹ 4,80,000 - 4,80,002",Mumbai
Assistant Sales Manager,Quick Forex Limited,"₹ 2,65,000 - 3,00,000","Chandigarh, Jalandhar"
Junior SAP ABAP Developer,Hustlr Staffing Services,"₹ 8,20,000 - 12,10,000",Lucknow
Junior Travel & Tourism Associate,Tripogram Club Pvt Ltd,"₹ 2,55,000",Work from home
3D Designer,Colour Square Marketing Private Limited,"₹ 2,40,000 - 3,00,000",Delhi
Operations Executive,STARTUP SQUAD PRIVATE LIMITED,"₹ 2,80,000 - 4,50,000","Delhi, Gurgaon, Manesar"
Back End Operation,YJNS INVESTMENT SERVICES LLP,"₹ 2,00,000 - 2,00,001",Delhi
Business Development Executive,Vishvesh Glasses Private Limited,"₹ 2,00,000 - 3,30,000",Ahmedabad
Computer Operator,ASAR & SONS IMPEX LLP,"₹ 2,16,000 - 3,12,000","Secunderabad, Hyderabad                                                        (Hybrid)"
Junior Business Development Executive,Diasimos Private Limited,"₹ 2,18,000 - 3,12,000",Ahmedabad
Full Stack Developer,Anansi Tech Private Limited,"₹ 2,40,000",Rajkot
Sales Executive,Pune Medical Coding Training Institute,"₹ 2,00,000",Pune
Product Delivery Associate (Mathematics Assessments),Open Door Education,"₹ 3,00,000 - 4,50,000",Work from home
SAP BASIS Trainee,Waddaya Solutions Private Limited,"₹ 2,84,000 - 2,88,000",Delhi
Real Estate Manager,BNM Business Solutions LLP,"₹ 3,00,000 - 4,00,000",Mumbai
Certified Property Manager,BNM Business Solutions LLP,"₹ 3,00,000 - 4,00,000",Mumbai
Real Estate Associate,BNM Business Solutions LLP,"₹ 3,00,000 - 4,00,000",Mumbai
Real Estate Specialist,BNM Business Solutions LLP,"₹ 3,00,000 - 4,00,000",Mumbai
Management Trainee (Sales),BNM Business Solutions LLP,"₹ 6,00,000 - 6,50,000",Mumbai
Assistant Sales Manager,BNM Business Solutions LLP,"₹ 6,00,000 - 6,50,000",Mumbai
Assistant Sales Executive,BNM Business Solutions LLP,"₹ 6,00,000 - 6,50,000",Mumbai
Data Entry Executive,SPADA ENERGIES PRIVATE LIMITED,"₹ 3,00,000 - 4,50,000",Dehradun
Business Associate,Halcom Marketing Private Limited,"₹ 3,10,000","Delhi, Ghaziabad, Noida"
Administration Executive,Colour Square Marketing Private Limited,"₹ 2,00,000 - 2,50,000",Delhi
Business Development Specialist,V4 EVENTS PVT LTD,"₹ 3,64,000 - 6,00,000",Mumbai                                                        (Hybrid)
Business Development Associate,Sales Fusion Digital,"₹ 2,50,000 - 4,00,000","Chennai, Tiruvallur, Perungudi"
Corporate Sales Executive,New Punjab Jewellers,"₹ 2,01,000",Lakhimpur Kheri
Video Editor,Left Of Centre Marketing LLP,"₹ 2,00,000 - 2,40,000",Ahmedabad
Inside Sales Engineer,Logical Solutions Limited,"₹ 2,00,000 - 3,50,000","Hyderabad, Telangana, Andhra Pradesh"
Brand Executive,Green Delight Innovations Private Limited,"₹ 2,00,000",Coimbatore
Graphic Designer,ICS REAL ESTATE L.L.C,"₹ 2,00,000 - 2,50,000",Work from home
Business Development Executive,IFive Technology Private Limited,"₹ 2,00,000 - 3,00,000",Chennai
Business Development Executive,IFive Technology Private Limited,"₹ 2,00,000 - 2,50,000",Chennai
Telesales Executive,Digta Wealth Networks Private Limited,"₹ 2,10,000 - 3,12,000",Delhi
Recruitment Manager,Redefine Wealth Investment Advisors LLP,"₹ 3,00,000 - 5,00,000",Noida
Video Editor,STARTUP SQUAD PRIVATE LIMITED,"₹ 2,50,000 - 3,50,000","Delhi, Gurgaon"
Brand Writer / Language Strategist,Vasterior,"₹ 2,00,000 - 2,80,000",Gautam Buddha Nagar                                                        (Hybrid)
Management Trainee (Sales),BNM Business Solutions LLP,"₹ 6,00,000 - 6,50,000",Mumbai
Management Trainee (Sales),BNM Business Solutions LLP,"₹ 6,00,000 - 6,50,000",Mumbai
Field Sales Executive,Leshrac Electricals Private Limited,"₹ 2,80,000 - 4,00,000",Delhi
Field Sales Executive,Axi Workforce Pvt Ltd,"₹ 2,02,000 - 2,40,000",Kolhapur
Corporate Sales Manager,MMA DESIGN PVT LTD,"₹ 3,50,000 - 6,00,000",Bangalore
Backend Content Moderation,Tech-Fi Technologies Private Limited,"₹ 2,00,000 - 2,65,000",Work from home
Digital Marketing Executive,Om Books International,"₹ 2,00,000 - 3,00,000","Delhi, Noida"
Field Sales Executive,Kingar Signs Private Limited,"₹ 2,16,000 - 2,24,000",Bangalore
Junior Architect,SABI Projects Private Limited,"₹ 2,40,000 - 3,00,000","Bahadurgarh, Sonipat, Delhi, Kundli"
Sales Specialist,Bhash Software Labs Private Limited,"₹ 4,40,000 - 7,00,000",Bangalore
Facebook Ads Associate,LIFE COACH SHILPA LLP,"₹ 2,20,000 - 4,50,000",Mumbai                                                        (Hybrid)
Robotics Engineer,PNT Robotics & Automation Solutions LLP,"₹ 3,00,000 - 5,00,000",Dombivli
Marketing Specialist,Water Town Swim School,"₹ 2,00,000 - 5,00,000","Delhi, Gurgaon, Noida"
Social Media Marketing Executive,VcareAll Solution Private Limited,"₹ 2,00,000 - 2,50,000",Work from home
Graphic Designer,Beyond Luxury Real Estate Consultants,"₹ 2,00,000 - 2,50,000",Thane
Social Media Manager And Video Editor,MHB Organisation,"₹ 2,00,000 - 7,00,000",Work from home
Sales Executive,RAM EMPIRE INDIA PRIVATE LIMITED,"₹ 2,00,000 - 9,00,000",Noida
Procurement Specialist - Operations & Supply Chain,Material Depot,"₹ 3,30,000 - 4,95,000",Bangalore
Product Marketing Associate,Brudite Private Limited,"₹ 4,00,000 - 6,00,000","Ajmer, Kota, Jaipur"
Senior Sales Executive,Empenofore Technologies Private Limited,"₹ 5,00,000 - 8,00,000",Gurgaon
Junior Social Media Marketing Specialist,Courtyard Farms,"₹ 2,75,000 - 4,00,000",Delhi                                                        (Hybrid)
Corporate Sales Manager,Genesisflare Technologies Private Limited,"₹ 2,40,000 - 3,36,000",Noida
Editorial Associate (Peer Review),KnowledgeWorks Global Limited,"₹ 2,00,000 - 4,00,000",Mumbai
Business Development & Sales Executive,I Love Villa,"₹ 2,04,000 - 3,24,000",Mumbai
Senior Play Attendant,El Nido EduPlay India,"₹ 3,00,000 - 4,20,000",Devanahalli
Business Development Sales - Real Estate,Moshi Moshi,"₹ 3,00,000 - 3,50,000",Bangalore
English Teacher (UK & Australian Time Zone),Bosscoder Academy,"₹ 2,00,000",Work from home
Node.js/MySQL Developer,FlexiEle Consulting Services Private Limited,"₹ 4,00,000 - 5,00,000",Work from home
Business Development Executive,Filmy Curry Private Limited,"₹ 3,00,001 - 6,00,000",Indore
Business Development Executive,IFive Technology Private Limited,"₹ 2,00,000 - 2,50,000",Chennai
Junior Social Media Marketing Executive,The Tatva,"₹ 3,00,000 - 4,00,000",Noida
Management Trainee - Client Servicing,Laqshya Media Group,"₹ 3,00,000",Mumbai
Data Entry Executive,Success Stories HR Solutions,"₹ 2,00,000 - 2,10,000",Kolkata
Digital Marketing Specialist,Magus Creations PVT. LTD,"₹ 2,05,000 - 2,06,000",Surat
Hotel Operation,Fargate Solutions Private Limited,"₹ 2,00,000 - 2,40,000","Delhi, Gurgaon, Pune, Noida"
Senior PHP Developer,InstaWeb Labs Private Limited,"₹ 5,00,000 - 9,00,000",Mumbai
Junior Social Media Marketing Associate,Beyond Middle East,"₹ 2,05,000 - 3,50,000",Work from home
UI/UX Designer,Grabtech Infomatics Private Limited,"₹ 2,00,000 - 3,00,000",Visakhapatnam
Content Developer (English),Bitlance Tech Hub Private Limited,"₹ 4,00,000 - 4,25,000",Work from home
iOS App Developer,InstaWeb Labs Private Limited,"₹ 4,00,000 - 6,00,000",Mumbai
Business Development Executive,InfyBytes AI Labs Private Limited,"₹ 3,00,000 - 4,00,000",Work from home
Robotics Trainer,Techyguide OPC Private Limited,"₹ 2,00,000 - 2,50,000","Bikaner, Delhi, Dhanbad, Ranchi, Nagaur, Balasore, Jaipur, Lakhimpur Kheri, Bangalore"
Desktop Support L1,Visionyle Solutions Private Limited,"₹ 2,20,000 - 3,00,000",Mumbai
Associate - Content And Production,The Economic Times,"₹ 4,00,000 - 6,00,000",Noida
Business Development Executive,VRAugment Works Private Limited,"₹ 2,00,000 - 5,00,000",Pune
Data Entry Associate,ASAR & SONS IMPEX LLP,"₹ 2,16,000 - 3,12,000",Hyderabad                                                        (Hybrid)
Computer Operator,Cherag Trader Private Limited,"₹ 2,16,000 - 3,40,000","Secunderabad, Hyderabad                                                        (Hybrid)"
Influencer Marketing Executive,Filmy Curry Private Limited,"₹ 3,00,001 - 5,00,000",Indore
Finance Manager,Aanandchetan And Atul Private Limited,"₹ 2,46,000 - 3,95,000",Laxminagar
Team Lead- Telecaller,Simpeltech Labs Private Limited,"₹ 3,00,000 - 4,20,000",Bangalore
Associate Content Writer,Simpeltech Labs Private Limited,"₹ 2,40,000 - 3,00,000",Bangalore
Junior Social Media Marketing Executive,Studio 7,"₹ 2,40,000 - 3,00,000",Mumbai
Administration Supervisor,AVM Healthcare Products Private Limited,"₹ 2,00,000 - 2,50,000",Delhi
Documentation Executive,AVM Healthcare Products Private Limited,"₹ 2,00,000 - 2,20,000",Delhi
Biotechnology Engineer,AVM Healthcare Products Private Limited,"₹ 2,50,000 - 3,00,000",Delhi
Digital Marketing Executive,ATA Analytiq Private Limited,"₹ 3,80,000 - 7,00,000",Kolkata
Business Development Executive,SheWings Healthcare Private Limited,"₹ 2,40,000 - 3,60,000",Noida
Consulting Associate,Vyapt Consulting Private Limited,"₹ 4,00,000 - 6,00,000","Delhi, Gurgaon, Noida                                                        (Hybrid)"
Business Development Executive,Vaayu Innovative Tech Systems,"₹ 2,45,000 - 5,20,000",Noida
Senior Accountant,Aspire Infinity Solutions Pvt Ltd,"₹ 2,92,000 - 4,60,000",Jaipur
Store Executive,AVM Healthcare Products Private Limited,"₹ 2,10,000 - 2,40,000",Delhi
Marketing Executive,Organo Eco Habitats Pvt Ltd,"₹ 5,00,000 - 15,00,000",Hyderabad
Content & Social Media Manager,Jainam Jivika Foundation,"₹ 3,60,000",Pune
Telecaller Sales,Propmandate Advisory Pvt Ltd,"₹ 2,00,000 - 2,50,000","Dombivli, Badlapur, Ambernath, Kalyan"
Digital Marketing Manager,SkillStack Ventures Pvt Ltd,"₹ 3,00,000 - 4,00,000",Noida
Graphic Designer,EasyMart Retail Solutions Pvt Ltd,"₹ 2,00,000 - 3,00,000",Delhi
Assistant Office Administrator,Dhirajlal And Company,"₹ 2,00,000 - 2,10,000",Navi Mumbai
Senior Electrical Engineer,Neopulse Energy Private Limited,"₹ 3,00,000",Chennai                                                        (Hybrid)
Business Development Executive,RJ Talents Private Limited,"₹ 2,05,000",Kishangarh
Junior Social Media Marketing Manager,Gryd Co.,"₹ 3,60,000 - 6,00,000",Delhi
Graphic Designer,Lampros Tech Labs Private Limited,"₹ 2,00,000 - 3,50,000",Ahmedabad
Fundraising & Donor Relations Executive,Jainam Jivika Foundation,"₹ 3,00,000 - 4,20,000",Pune
Corporate Sales Executive,Hotel Parle International,"₹ 2,00,000 - 3,00,000","E), Mumbai"
Field Sales Executive,Future Gate HR Solutions,"₹ 2,00,000 - 4,20,000",Ahmedabad
Corporate Sales Executive,Panicle Worldwide Private Limited,"₹ 2,40,000 - 3,00,000",Delhi
Business Development Associate,Guru 360 Training Academy,"₹ 2,00,000 - 2,43,000",Noida
Ecommerce Operation Manager,The Affordable Organic Store,"₹ 4,00,000 - 8,00,000",Kompally
Junior Media & Public Relations (PR) Executive,EMIAC,"₹ 2,40,000 - 3,00,000",Jaipur
Customer Relationship Manager,NAHATA IMPEX PRIVATE LIMITED,"₹ 2,00,000 - 2,50,000",Kolkata
Junior Motion Graphics Specialist,"Knowledge Center, Gurgaon","₹ 2,16,000 - 3,60,000",Gurgaon
Trainee Design Engineer,LRYPT Technologies Pvt. Ltd.,"₹ 2,00,000 - 3,00,000",Bangalore
Admission Counsellor,Bansal Classes Pvt. Ltd. Uttarakhand,"₹ 2,00,000 - 2,50,000",Dehradun
Marketing And Collecting Ads,Impressive Times,"₹ 2,00,000 - 4,00,000","Faridabad, Delhi"
Business Development Executive,InfyBytes AI Labs Private Limited,"₹ 3,00,000 - 4,00,000",Work from home
Digital Marketing Executive,Vishal Landbase Pvt Ltd,"₹ 3,00,000 - 5,50,000",Delhi
Digital Marketing Executive,THRM Digital Marketing Agency,"₹ 2,00,000 - 2,40,000",Kalyan
Junior Travel & Tourism Associate,Cosmos Staffing Solutions,"₹ 2,00,000 - 2,50,000",Delhi
Junior Social Media Marketing Executive,MHB Organisation,"₹ 2,00,000 - 7,00,000",Delhi
Business Development Associate,Weskill Edutech Private Limited,"₹ 3,00,000 - 6,00,000",Bangalore
Business Development Executive,Sepadutech. Pvt. Ltd Pune,"₹ 3,00,000 - 6,00,000",Pune
Career Coach,Head Held High Foundation,"₹ 3,01,000 - 3,27,000","Surat, Osmanabad, Bharuch, Nagpur, Rewa, Bhandara Sub-District"
Telugu Translator – YouTube Content,Cerebellum Academy,"₹ 3,00,000","Pondicherry, Hyderabad, Noida, Odisha, Andhra Pradesh, Tamil Nadu, Karnataka                                                        (Hybrid)"
Telecaller,Grab A Grub Services Private Limited,"₹ 2,00,000 - 3,00,000",Gurgaon
Product Manager,Nuvio Technologies Private Limited,"₹ 2,00,000 - 2,50,000",Navi Mumbai
Business Development Executive,Serviots Technology Private Limited,"₹ 2,00,000 - 3,60,000",Ahmedabad
Social Media Manager,Elixir Equities Private Limited,"₹ 3,60,000 - 8,00,000",Mumbai
Business Development Manager,ADITYAR TRENDS PRIVATE LIMITED,"₹ 3,25,000 - 4,50,000",Noida
Associate - Mutual Fund Research & Data Analysis,Fintune,"₹ 2,00,000 - 2,80,000",Pune
Business Development Associate,Fuerte HealthCare Private Limited,"₹ 2,20,000 - 2,90,000",Gurgaon                                                        (Hybrid)
Data Structures And Algorithms Trainer,Finest Coder,"₹ 2,00,000 - 2,20,000",Coimbatore
Placement Coordinator,Pune Medical Coding Training Institute,"₹ 2,00,000",Pune
Student Coordinator,Pune Medical Coding Training Institute,"₹ 2,00,000",Pune
Electronics Hardware & Software Specialist,Indian Robotics Solution,"₹ 4,00,000 - 6,00,000",Noida
Junior Social Media Marketing Executive,Auli Lifestyle,"₹ 2,20,000 - 2,50,000",Kolkata
Field Sales Executive,Ekagra Finserv Pvt Ltd,"₹ 2,00,000 - 4,00,000",Gurgaon
Customer Acquisition Executive,Ktex Overseas Private Limited,"₹ 2,40,000 - 3,00,000",Delhi
Field Sales Executive,Palis Eco Vehicles Pvt Ltd,"₹ 2,40,000 - 3,50,000",Work from home
Junior Digital Marketing Specialist,Buddyaan Services Private Limited,"₹ 2,00,000 - 3,60,000",Work from home
Social Media Marketing Associate,Wehire Talent Solutions,"₹ 2,20,000 - 2,50,000",Mumbai
Corporate Sales Manager,APVM Electronics Private Limited,"₹ 2,00,000 - 3,00,000",Muzaffarpur
STEM Engineer/Robotics Trainer/STEM Educator,STEMx,"₹ 2,00,000 - 2,40,000",Hyderabad
Full-Stack CodeIgniter Developer (UI/UX + Figma),TopSystems.io,"₹ 6,00,000 - 12,00,000",Work from home
International Sales & Marketing Executive,KND Steel Syndicate,"₹ 2,04,000 - 3,00,000",Delhi
Business Development Executive,SPARKSPRINT SERVICES PRIVATE LIMITED,"₹ 2,20,000 - 4,50,000",Noida
Django Rest Framework Developer – Full-Time,Voizer.ai,"₹ 2,40,000 - 4,80,000",Delhi
Message & Automation Support Executive – Full-Time,Voizer.ai,"₹ 2,40,000 - 4,00,000",Delhi
Business Development Executive,InfyBytes AI Labs Private Limited,"₹ 3,00,000 - 4,00,000",Work from home
Junior Visual Designer,Remedium Consultancy Pvt Ltd,"₹ 3,00,000 - 3,60,000",Gurgaon
Junior Search Engine Optimization (SEO) Executive,Midinnings,"₹ 2,00,000 - 2,00,050",Udaipur
Digital Marketing Officer,WISGRAD EDUCATION PRIVATE LIMITED,"₹ 2,00,000 - 3,60,000",Kochi
Digital Marketing Executive,The Investors Tree,"₹ 2,40,000 - 3,00,000",Greater Noida                                                        (Hybrid)
Customer Support Associate,Nitta Gelatin India Limited,"₹ 2,00,000",Kakkanad
Corporate Sales Executive,Fortuna Retail Private Limited,"₹ 3,05,000 - 4,70,000",Gurgaon
Call Center Executive/Telecaller (Full-Time),STEMplify,"₹ 2,00,000 - 2,50,000",Noida
HR Recruiter,Bhash Software Labs Private Limited,"₹ 2,40,000 - 3,00,000",Bangalore
Business Development Executive,Biene Technology Private Limited,"₹ 2,55,000 - 3,10,000",Noida
Junior Business Development Executive,SV WEALTH PARTNERS,"₹ 2,40,000 - 2,80,000",Delhi
IT Support & Systems Administrator,Kalolwala And Associates,"₹ 6,00,000 - 10,00,000",Kolkata
Corporate Sales Associate,Bells Beach Resort Goa,"₹ 2,16,000 - 2,50,000",Delhi
